Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
K	chrX-v0_1019914_aligned_541_R_89_105965_2	0	96	-13	46.29	True
E_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	97	266	144	91.38	True
D_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	267	435	152	94.19	True
C_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	436	613	148	90.66	True
B_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	614	795	151	89.53	True
A_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	796	967	144	90.45	True
L_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	968	1139	158	95.93	True
K_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	1140	1293	128	87.21	True
J_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	1294	1463	157	95.91	True
I_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	1464	1631	136	88.64	True
H_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	1632	1796	133	88.00	True
G_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	1797	1963	142	90.80	True
F_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	1964	2135	154	94.25	True
E_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	2136	2303	160	97.62	True
D_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	2304	2476	163	97.11	True
C_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	2477	2647	145	90.96	True
B_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	2648	2832	162	92.19	True
A_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	2833	3010	150	91.67	True
L_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	3011	3178	152	94.71	True
K_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	3179	3352	141	89.39	True
J_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	3353	3515	136	90.00	True
I_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	3516	3681	149	93.57	True
H_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	3682	3847	136	89.08	True
G_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	3848	4013	151	94.15	True
F_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	4014	4183	126	85.80	True
J_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	4184	4347	134	89.41	True
I_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	4348	4517	155	94.80	True
H_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	4518	4687	149	92.57	True
G_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	4688	4855	143	91.33	True
F_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	4856	5023	141	90.29	True
E_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	5024	5193	147	92.49	True
D_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	5194	5365	156	94.83	True
C_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	5366	5538	159	95.43	True
B_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	5539	5721	151	89.53	True
A_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	5722	5889	136	88.64	True
L_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	5890	6061	149	92.57	True
K_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	6062	6232	135	88.14	True
J_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	6233	6390	120	85.29	True
I_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	6391	6565	148	92.05	True
H_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	6566	6730	133	88.00	True
G_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	6731	6901	147	92.00	True
F_rc	chrX-v0_1019914_aligned_541_R_89_105965_2	6902	7067	159	96.49	True
