Monomer: J_rc, Start: 0, End: 214, Identity Score: 86, Match Percentage: 69.37%, Matches: 154, Total Length: 222
Monomer: I_rc, Start: 215, End: 377, Identity Score: 147, Match Percentage: 92.49%, Matches: 160, Total Length: 173
Monomer: H_rc, Start: 378, End: 550, Identity Score: 166, Match Percentage: 97.70%, Matches: 170, Total Length: 174
Monomer: G_rc, Start: 551, End: 718, Identity Score: 152, Match Percentage: 93.68%, Matches: 163, Total Length: 174
Monomer: F_rc, Start: 719, End: 893, Identity Score: 151, Match Percentage: 92.66%, Matches: 164, Total Length: 177
Monomer: E_rc, Start: 894, End: 1061, Identity Score: 159, Match Percentage: 97.04%, Matches: 164, Total Length: 169
Monomer: D_rc, Start: 1062, End: 1221, Identity Score: 141, Match Percentage: 91.23%, Matches: 156, Total Length: 171
Monomer: C_rc, Start: 1222, End: 1389, Identity Score: 156, Match Percentage: 95.35%, Matches: 164, Total Length: 172
Monomer: B_rc, Start: 1390, End: 1571, Identity Score: 160, Match Percentage: 92.55%, Matches: 174, Total Length: 188
Monomer: A_rc, Start: 1572, End: 1739, Identity Score: 145, Match Percentage: 91.91%, Matches: 159, Total Length: 173
Monomer: L_rc, Start: 1740, End: 1907, Identity Score: 143, Match Percentage: 90.86%, Matches: 159, Total Length: 175
Monomer: K_rc, Start: 1908, End: 2082, Identity Score: 155, Match Percentage: 93.79%, Matches: 166, Total Length: 177
Monomer: J_rc, Start: 2083, End: 2249, Identity Score: 159, Match Percentage: 97.04%, Matches: 164, Total Length: 169
Monomer: I_rc, Start: 2250, End: 2416, Identity Score: 151, Match Percentage: 93.64%, Matches: 162, Total Length: 173
Monomer: H_rc, Start: 2417, End: 2591, Identity Score: 157, Match Percentage: 94.35%, Matches: 167, Total Length: 177
Monomer: G_rc, Start: 2592, End: 2755, Identity Score: 150, Match Percentage: 93.60%, Matches: 161, Total Length: 172
Monomer: F_rc, Start: 2756, End: 2927, Identity Score: 162, Match Percentage: 97.09%, Matches: 167, Total Length: 172
Monomer: E_rc, Start: 2928, End: 3100, Identity Score: 136, Match Percentage: 88.20%, Matches: 157, Total Length: 178
Monomer: D_rc, Start: 3101, End: 3271, Identity Score: 158, Match Percentage: 95.40%, Matches: 166, Total Length: 174
Monomer: C_rc, Start: 3272, End: 3450, Identity Score: 152, Match Percentage: 91.76%, Matches: 167, Total Length: 182
Monomer: B_rc, Start: 3451, End: 3632, Identity Score: 153, Match Percentage: 90.48%, Matches: 171, Total Length: 189
Monomer: A_rc, Start: 3633, End: 3802, Identity Score: 147, Match Percentage: 92.00%, Matches: 161, Total Length: 175
Monomer: L_rc, Start: 3803, End: 3969, Identity Score: 145, Match Percentage: 91.91%, Matches: 159, Total Length: 173
Monomer: K_rc, Start: 3970, End: 4147, Identity Score: 150, Match Percentage: 91.67%, Matches: 165, Total Length: 180
Monomer: J_rc, Start: 4148, End: 4311, Identity Score: 141, Match Percentage: 91.23%, Matches: 156, Total Length: 171
Monomer: I_rc, Start: 4312, End: 4487, Identity Score: 150, Match Percentage: 91.67%, Matches: 165, Total Length: 180
Monomer: H_rc, Start: 4488, End: 4662, Identity Score: 156, Match Percentage: 94.32%, Matches: 166, Total Length: 176
Monomer: G_rc, Start: 4663, End: 4830, Identity Score: 161, Match Percentage: 97.08%, Matches: 166, Total Length: 171
Monomer: F_rc, Start: 4831, End: 5003, Identity Score: 156, Match Percentage: 94.32%, Matches: 166, Total Length: 176
Monomer: E_rc, Start: 5004, End: 5172, Identity Score: 140, Match Percentage: 90.23%, Matches: 157, Total Length: 174
Monomer: D_rc, Start: 5173, End: 5331, Identity Score: 139, Match Percentage: 90.64%, Matches: 155, Total Length: 171
Monomer: C_rc, Start: 5332, End: 5501, Identity Score: 162, Match Percentage: 97.09%, Matches: 167, Total Length: 172
Monomer: B_rc, Start: 5502, End: 5678, Identity Score: 151, Match Percentage: 89.95%, Matches: 170, Total Length: 189
Monomer: A_rc, Start: 5679, End: 5846, Identity Score: 148, Match Percentage: 93.02%, Matches: 160, Total Length: 172
Monomer: L_rc, Start: 5847, End: 6015, Identity Score: 148, Match Percentage: 92.53%, Matches: 161, Total Length: 174
Monomer: K_rc, Start: 6016, End: 6190, Identity Score: 145, Match Percentage: 90.96%, Matches: 161, Total Length: 177
Monomer: J_rc, Start: 6191, End: 6358, Identity Score: 146, Match Percentage: 92.44%, Matches: 159, Total Length: 172
Monomer: I_rc, Start: 6359, End: 6532, Identity Score: 160, Match Percentage: 95.98%, Matches: 167, Total Length: 174
Monomer: H_rc, Start: 6533, End: 6699, Identity Score: 161, Match Percentage: 97.08%, Matches: 166, Total Length: 171
Monomer: G_rc, Start: 6700, End: 6870, Identity Score: 157, Match Percentage: 95.38%, Matches: 165, Total Length: 173
Monomer: F_rc, Start: 6871, End: 7035, Identity Score: 148, Match Percentage: 93.02%, Matches: 160, Total Length: 172
Monomer: E_rc, Start: 7036, End: 7202, Identity Score: 152, Match Percentage: 94.71%, Matches: 161, Total Length: 170
Monomer: D_rc, Start: 7203, End: 7375, Identity Score: 152, Match Percentage: 93.18%, Matches: 164, Total Length: 176
Monomer: C_rc, Start: 7376, End: 7545, Identity Score: 144, Match Percentage: 91.38%, Matches: 159, Total Length: 174
Monomer: B_rc, Start: 7546, End: 7731, Identity Score: 174, Match Percentage: 96.28%, Matches: 181, Total Length: 188
Monomer: A_rc, Start: 7732, End: 7901, Identity Score: 155, Match Percentage: 94.80%, Matches: 164, Total Length: 173
Monomer: L_rc, Start: 7902, End: 8075, Identity Score: 145, Match Percentage: 90.96%, Matches: 161, Total Length: 177
Monomer: K_rc, Start: 8076, End: 8247, Identity Score: 155, Match Percentage: 94.80%, Matches: 164, Total Length: 173
Monomer: J_rc, Start: 8248, End: 8412, Identity Score: 159, Match Percentage: 97.04%, Matches: 164, Total Length: 169
Monomer: I_rc, Start: 8413, End: 8580, Identity Score: 164, Match Percentage: 98.24%, Matches: 167, Total Length: 170
Monomer: H_rc, Start: 8581, End: 8752, Identity Score: 160, Match Percentage: 95.98%, Matches: 167, Total Length: 174
Monomer: G_rc, Start: 8753, End: 8924, Identity Score: 168, Match Percentage: 98.84%, Matches: 170, Total Length: 172
Monomer: F_rc, Start: 8925, End: 9094, Identity Score: 158, Match Percentage: 95.93%, Matches: 165, Total Length: 172
Monomer: E_rc, Start: 9095, End: 9259, Identity Score: 155, Match Percentage: 95.86%, Matches: 162, Total Length: 169
Monomer: D_rc, Start: 9260, End: 9430, Identity Score: 163, Match Percentage: 97.66%, Matches: 167, Total Length: 171
Monomer: C_rc, Start: 9431, End: 9601, Identity Score: 151, Match Percentage: 93.14%, Matches: 163, Total Length: 175
Monomer: B_rc, Start: 9602, End: 9786, Identity Score: 151, Match Percentage: 89.12%, Matches: 172, Total Length: 193
Monomer: A_rc, Start: 9787, End: 9960, Identity Score: 147, Match Percentage: 91.53%, Matches: 162, Total Length: 177
Monomer: L_rc, Start: 9961, End: 10127, Identity Score: 139, Match Percentage: 89.71%, Matches: 157, Total Length: 175
Monomer: K_rc, Start: 10128, End: 10300, Identity Score: 163, Match Percentage: 97.11%, Matches: 168, Total Length: 173
Monomer: J_rc, Start: 10301, End: 10466, Identity Score: 153, Match Percentage: 94.74%, Matches: 162, Total Length: 171
Monomer: I_rc, Start: 10467, End: 10637, Identity Score: 169, Match Percentage: 99.42%, Matches: 170, Total Length: 171
Monomer: H_rc, Start: 10638, End: 10809, Identity Score: 157, Match Percentage: 94.86%, Matches: 166, Total Length: 175
Monomer: G_rc, Start: 10810, End: 10975, Identity Score: 135, Match Percentage: 88.57%, Matches: 155, Total Length: 175
Monomer: F_rc, Start: 10976, End: 11149, Identity Score: 140, Match Percentage: 89.33%, Matches: 159, Total Length: 178
Monomer: E_rc, Start: 11150, End: 11316, Identity Score: 146, Match Percentage: 92.44%, Matches: 159, Total Length: 172
Monomer: D_rc, Start: 11317, End: 11486, Identity Score: 154, Match Percentage: 94.77%, Matches: 163, Total Length: 172
Monomer: C_rc, Start: 11487, End: 11654, Identity Score: 150, Match Percentage: 93.10%, Matches: 162, Total Length: 174
Monomer: B_rc, Start: 11655, End: 11845, Identity Score: 168, Match Percentage: 93.75%, Matches: 180, Total Length: 192
Monomer: A_rc, Start: 11846, End: 12027, Identity Score: 139, Match Percentage: 87.98%, Matches: 161, Total Length: 183
Monomer: L_rc, Start: 12028, End: 12201, Identity Score: 151, Match Percentage: 92.66%, Matches: 164, Total Length: 177
Monomer: K_rc, Start: 12202, End: 12372, Identity Score: 157, Match Percentage: 95.38%, Matches: 165, Total Length: 173
Monomer: J_rc, Start: 12373, End: 12539, Identity Score: 154, Match Percentage: 95.29%, Matches: 162, Total Length: 170
Monomer: I_rc, Start: 12540, End: 12710, Identity Score: 159, Match Percentage: 95.95%, Matches: 166, Total Length: 173
