read-name,best-monomer,start-pos,end-pos,identity,second-best-monomer,second-best-monomer-identity,homo-best-monomer,homo-identity,homo-second-best-monomer,homo-second-best-monomer-identity,reliability
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,J_9_DXZ1*_doubled/1471_1638/R',0,214,69.41,E_4_DXZ1*_doubled/621_788/R',64.71,J_9_DXZ1*_doubled/1471_1638/R',73.03,E_4_DXZ1*_doubled/621_788/R',67.31,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',2928,3100,88.64,J_9_DXZ1*_doubled/1471_1638/R',78.21,E_4_DXZ1*_doubled/621_788/R',89.68,J_9_DXZ1*_doubled/1471_1638/R',76.92,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',5502,5678,89.95,G_6_DXZ1*_doubled/960_1129/R',71.05,B_1_DXZ1*_doubled/94_279/R',92.48,G_6_DXZ1*_doubled/960_1129/R',72.59,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',9602,9786,89.06,G_6_DXZ1*_doubled/960_1129/R',72.49,B_1_DXZ1*_doubled/94_279/R',91.73,K_10_DXZ1*_doubled/1639_1808/R',75.0,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',9961,10127,89.71,G_6_DXZ1*_doubled/960_1129/R',80.0,L_11_DXZ1*_doubled/1809_1977/R',92.74,G_6_DXZ1*_doubled/960_1129/R',79.07,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,G_6_DXZ1*_doubled/960_1129/R',10810,10975,88.57,K_10_DXZ1*_doubled/1639_1808/R',79.1,G_6_DXZ1*_doubled/960_1129/R',88.89,K_10_DXZ1*_doubled/1639_1808/R',75.37,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',10976,11149,89.33,K_10_DXZ1*_doubled/1639_1808/R',80.45,F_5_DXZ1*_doubled/789_959/R',90.84,K_10_DXZ1*_doubled/1639_1808/R',82.22,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,A_0_DXZ1*_doubled/1978_2147/R',11846,12027,87.98,H_7_DXZ1*_doubled/1130_1300/R',76.63,A_0_DXZ1*_doubled/1978_2147/R',86.05,H_7_DXZ1*_doubled/1130_1300/R',76.87,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',16132,16298,87.5,G_6_DXZ1*_doubled/960_1129/R',76.97,L_11_DXZ1*_doubled/1809_1977/R',89.34,G_6_DXZ1*_doubled/960_1129/R',76.19,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,K_10_DXZ1*_doubled/1639_1808/R',16299,16468,89.83,F_5_DXZ1*_doubled/789_959/R',78.89,K_10_DXZ1*_doubled/1639_1808/R',93.02,F_5_DXZ1*_doubled/789_959/R',80.29,+
