Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
L_rc	chrX-v0_1771647_aligned_436_F_196_17199_49	0	122	1	50.28	True
D	chrX-v0_1771647_aligned_436_F_196_17199_49	123	270	66	68.33	True
E	chrX-v0_1771647_aligned_436_F_196_17199_49	271	436	135	88.57	True
F	chrX-v0_1771647_aligned_436_F_196_17199_49	437	597	124	84.83	True
G	chrX-v0_1771647_aligned_436_F_196_17199_49	598	763	130	87.36	True
H	chrX-v0_1771647_aligned_436_F_196_17199_49	764	932	145	90.96	True
I	chrX-v0_1771647_aligned_436_F_196_17199_49	933	1104	158	95.40	True
J	chrX-v0_1771647_aligned_436_F_196_17199_49	1105	1268	150	94.64	True
K	chrX-v0_1771647_aligned_436_F_196_17199_49	1269	1441	151	93.14	True
L	chrX-v0_1771647_aligned_436_F_196_17199_49	1442	1608	163	98.22	True
A	chrX-v0_1771647_aligned_436_F_196_17199_49	1609	1784	151	92.66	True
B	chrX-v0_1771647_aligned_436_F_196_17199_49	1785	1963	155	91.01	True
C	chrX-v0_1771647_aligned_436_F_196_17199_49	1964	2130	158	95.93	True
D	chrX-v0_1771647_aligned_436_F_196_17199_49	2131	2300	161	97.08	True
E	chrX-v0_1771647_aligned_436_F_196_17199_49	2301	2464	118	83.91	True
F	chrX-v0_1771647_aligned_436_F_196_17199_49	2465	2634	155	94.80	True
G	chrX-v0_1771647_aligned_436_F_196_17199_49	2635	2815	151	91.71	True
H	chrX-v0_1771647_aligned_436_F_196_17199_49	2816	2986	151	93.14	True
I	chrX-v0_1771647_aligned_436_F_196_17199_49	2987	3160	136	88.20	True
J	chrX-v0_1771647_aligned_436_F_196_17199_49	3161	3327	140	91.18	True
K	chrX-v0_1771647_aligned_436_F_196_17199_49	3328	3498	143	89.94	True
L	chrX-v0_1771647_aligned_436_F_196_17199_49	3499	3668	122	83.89	True
A	chrX-v0_1771647_aligned_436_F_196_17199_49	3669	3834	137	89.14	True
B	chrX-v0_1771647_aligned_436_F_196_17199_49	3835	4015	129	83.08	True
C	chrX-v0_1771647_aligned_436_F_196_17199_49	4016	4187	154	94.25	True
D	chrX-v0_1771647_aligned_436_F_196_17199_49	4188	4359	137	88.27	True
E	chrX-v0_1771647_aligned_436_F_196_17199_49	4360	4530	155	95.32	True
F	chrX-v0_1771647_aligned_436_F_196_17199_49	4531	4695	121	83.43	True
G	chrX-v0_1771647_aligned_436_F_196_17199_49	4696	4859	126	85.80	True
H	chrX-v0_1771647_aligned_436_F_196_17199_49	4860	5028	123	83.98	True
I	chrX-v0_1771647_aligned_436_F_196_17199_49	5029	5193	146	92.44	True
J	chrX-v0_1771647_aligned_436_F_196_17199_49	5194	5364	157	95.91	True
K	chrX-v0_1771647_aligned_436_F_196_17199_49	5365	5536	145	90.50	True
L	chrX-v0_1771647_aligned_436_F_196_17199_49	5537	5691	138	90.59	True
A	chrX-v0_1771647_aligned_436_F_196_17199_49	5692	5859	146	91.95	True
B	chrX-v0_1771647_aligned_436_F_196_17199_49	5860	6048	160	91.67	True
C	chrX-v0_1771647_aligned_436_F_196_17199_49	6049	6221	134	86.81	True
D	chrX-v0_1771647_aligned_436_F_196_17199_49	6222	6389	139	89.71	True
E	chrX-v0_1771647_aligned_436_F_196_17199_49	6390	6547	134	89.41	True
F	chrX-v0_1771647_aligned_436_F_196_17199_49	6548	6716	140	89.77	True
G	chrX-v0_1771647_aligned_436_F_196_17199_49	6717	6884	142	90.80	True
H	chrX-v0_1771647_aligned_436_F_196_17199_49	6885	7059	152	92.70	True
I	chrX-v0_1771647_aligned_436_F_196_17199_49	7060	7230	155	94.80	True
J	chrX-v0_1771647_aligned_436_F_196_17199_49	7231	7399	156	95.88	True
K	chrX-v0_1771647_aligned_436_F_196_17199_49	7400	7566	152	94.71	True
L	chrX-v0_1771647_aligned_436_F_196_17199_49	7567	7741	142	89.44	True
A	chrX-v0_1771647_aligned_436_F_196_17199_49	7742	7909	143	90.86	True
B	chrX-v0_1771647_aligned_436_F_196_17199_49	7910	8086	131	84.29	True
C	chrX-v0_1771647_aligned_436_F_196_17199_49	8087	8249	150	93.60	True
D	chrX-v0_1771647_aligned_436_F_196_17199_49	8250	8423	132	87.08	True
E	chrX-v0_1771647_aligned_436_F_196_17199_49	8424	8587	127	86.71	True
F	chrX-v0_1771647_aligned_436_F_196_17199_49	8588	8753	151	93.64	True
G	chrX-v0_1771647_aligned_436_F_196_17199_49	8754	8917	144	91.86	True
H	chrX-v0_1771647_aligned_436_F_196_17199_49	8918	9078	124	85.63	True
I	chrX-v0_1771647_aligned_436_F_196_17199_49	9079	9243	147	92.98	True
J	chrX-v0_1771647_aligned_436_F_196_17199_49	9244	9407	112	81.82	True
K	chrX-v0_1771647_aligned_436_F_196_17199_49	9408	9580	154	93.75	True
L	chrX-v0_1771647_aligned_436_F_196_17199_49	9581	9731	106	80.46	True
A	chrX-v0_1771647_aligned_436_F_196_17199_49	9732	9904	151	93.14	True
B	chrX-v0_1771647_aligned_436_F_196_17199_49	9905	10092	164	93.16	True
C	chrX-v0_1771647_aligned_436_F_196_17199_49	10093	10267	165	97.14	True
D	chrX-v0_1771647_aligned_436_F_196_17199_49	10268	10439	152	93.68	True
E	chrX-v0_1771647_aligned_436_F_196_17199_49	10440	10613	137	88.70	True
