Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
L_rc	chrX-v0_706096_aligned_584_R_101_40820_2	0	194	80	69.23	True
K_rc	chrX-v0_706096_aligned_584_R_101_40820_2	195	369	159	95.43	True
J_rc	chrX-v0_706096_aligned_584_R_101_40820_2	370	543	158	95.40	True
I_rc	chrX-v0_706096_aligned_584_R_101_40820_2	544	717	146	91.01	True
H_rc	chrX-v0_706096_aligned_584_R_101_40820_2	718	893	148	91.57	True
G_rc	chrX-v0_706096_aligned_584_R_101_40820_2	894	1071	148	91.11	True
F_rc	chrX-v0_706096_aligned_584_R_101_40820_2	1072	1230	108	80.34	True
E_rc	chrX-v0_706096_aligned_584_R_101_40820_2	1231	1396	151	94.67	True
D_rc	chrX-v0_706096_aligned_584_R_101_40820_2	1397	1573	135	87.29	True
C_rc	chrX-v0_706096_aligned_584_R_101_40820_2	1574	1750	161	95.48	True
B_rc	chrX-v0_706096_aligned_584_R_101_40820_2	1751	1936	179	97.86	True
A_rc	chrX-v0_706096_aligned_584_R_101_40820_2	1937	2109	140	89.77	True
L_rc	chrX-v0_706096_aligned_584_R_101_40820_2	2110	2267	133	88.89	True
K_rc	chrX-v0_706096_aligned_584_R_101_40820_2	2268	2435	115	81.77	True
J_rc	chrX-v0_706096_aligned_584_R_101_40820_2	2436	2600	133	88.89	True
I_rc	chrX-v0_706096_aligned_584_R_101_40820_2	2601	2761	119	84.39	True
H_rc	chrX-v0_706096_aligned_584_R_101_40820_2	2762	2929	127	86.29	True
G_rc	chrX-v0_706096_aligned_584_R_101_40820_2	2930	3102	135	87.71	True
F_rc	chrX-v0_706096_aligned_584_R_101_40820_2	3103	3267	151	94.15	True
E_rc	chrX-v0_706096_aligned_584_R_101_40820_2	3268	3439	132	87.50	True
D_rc	chrX-v0_706096_aligned_584_R_101_40820_2	3440	3612	153	93.71	True
C_rc	chrX-v0_706096_aligned_584_R_101_40820_2	3613	3775	118	83.15	True
B_rc	chrX-v0_706096_aligned_584_R_101_40820_2	3776	3958	167	94.18	True
A_rc	chrX-v0_706096_aligned_584_R_101_40820_2	3959	4126	147	92.49	True
L_rc	chrX-v0_706096_aligned_584_R_101_40820_2	4127	4300	143	90.40	True
K_rc	chrX-v0_706096_aligned_584_R_101_40820_2	4301	4470	143	90.86	True
J_rc	chrX-v0_706096_aligned_584_R_101_40820_2	4471	4632	142	92.26	True
I_rc	chrX-v0_706096_aligned_584_R_101_40820_2	4633	4800	147	92.98	True
H_rc	chrX-v0_706096_aligned_584_R_101_40820_2	4801	4969	148	92.53	True
G_rc	chrX-v0_706096_aligned_584_R_101_40820_2	4970	5144	137	88.27	True
F_rc	chrX-v0_706096_aligned_584_R_101_40820_2	5145	5308	135	88.14	True
E_rc	chrX-v0_706096_aligned_584_R_101_40820_2	5309	5478	135	89.02	True
D_rc	chrX-v0_706096_aligned_584_R_101_40820_2	5479	5650	130	86.11	True
C_rc	chrX-v0_706096_aligned_584_R_101_40820_2	5651	5824	146	91.01	True
B_rc	chrX-v0_706096_aligned_584_R_101_40820_2	5825	6019	153	88.44	True
A_rc	chrX-v0_706096_aligned_584_R_101_40820_2	6020	6188	126	85.80	True
L_rc	chrX-v0_706096_aligned_584_R_101_40820_2	6189	6353	135	88.57	True
K_rc	chrX-v0_706096_aligned_584_R_101_40820_2	6354	6524	146	91.95	True
