Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
I	chrX-v0_2139507_aligned_182_F_50_33967_42	0	191	119	80.51	True
J	chrX-v0_2139507_aligned_182_F_50_33967_42	192	360	148	92.53	True
K	chrX-v0_2139507_aligned_182_F_50_33967_42	361	529	159	95.95	True
L	chrX-v0_2139507_aligned_182_F_50_33967_42	530	699	143	91.33	True
A	chrX-v0_2139507_aligned_182_F_50_33967_42	700	869	165	98.25	True
B	chrX-v0_2139507_aligned_182_F_50_33967_42	870	1051	162	92.63	True
C	chrX-v0_2139507_aligned_182_F_50_33967_42	1052	1213	136	89.08	True
D	chrX-v0_2139507_aligned_182_F_50_33967_42	1214	1375	147	92.98	True
E	chrX-v0_2139507_aligned_182_F_50_33967_42	1376	1541	131	87.86	True
F	chrX-v0_2139507_aligned_182_F_50_33967_42	1542	1711	124	84.83	True
G	chrX-v0_2139507_aligned_182_F_50_33967_42	1712	1882	157	95.38	True
H	chrX-v0_2139507_aligned_182_F_50_33967_42	1883	2045	127	85.47	True
I	chrX-v0_2139507_aligned_182_F_50_33967_42	2046	2210	105	79.66	True
J	chrX-v0_2139507_aligned_182_F_50_33967_42	2211	2371	149	94.08	True
K	chrX-v0_2139507_aligned_182_F_50_33967_42	2372	2541	136	88.20	True
L	chrX-v0_2139507_aligned_182_F_50_33967_42	2542	2709	155	95.32	True
A	chrX-v0_2139507_aligned_182_F_50_33967_42	2710	2878	148	93.02	True
B	chrX-v0_2139507_aligned_182_F_50_33967_42	2879	3068	148	88.14	True
C	chrX-v0_2139507_aligned_182_F_50_33967_42	3069	3235	143	91.33	True
D	chrX-v0_2139507_aligned_182_F_50_33967_42	3236	3392	127	87.13	True
E	chrX-v0_2139507_aligned_182_F_50_33967_42	3393	3555	128	86.78	True
F	chrX-v0_2139507_aligned_182_F_50_33967_42	3556	3727	154	94.25	True
G	chrX-v0_2139507_aligned_182_F_50_33967_42	3728	3897	145	91.43	True
H	chrX-v0_2139507_aligned_182_F_50_33967_42	3898	4066	156	94.83	True
I	chrX-v0_2139507_aligned_182_F_50_33967_42	4067	4236	143	90.40	True
J	chrX-v0_2139507_aligned_182_F_50_33967_42	4237	4400	130	87.36	True
K	chrX-v0_2139507_aligned_182_F_50_33967_42	4401	4565	130	86.93	True
