Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
L_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	0	212	60	63.27	True
K_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	213	381	147	92.49	True
J_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	382	557	138	88.33	True
I_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	558	739	146	89.67	True
H_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	740	911	157	95.38	True
G_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	912	1089	136	86.96	True
F_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	1090	1258	145	91.43	True
E_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	1259	1420	126	87.06	True
D_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	1421	1594	158	94.89	True
C_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	1595	1766	141	89.83	True
B_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	1767	1953	161	92.15	True
A_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	1954	2124	163	97.11	True
L_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	2125	2295	141	90.29	True
K_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	2296	2469	141	89.39	True
J_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	2470	2632	140	91.18	True
I_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	2633	2805	134	86.81	True
H_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	2806	2981	158	94.38	True
G_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	2982	3153	142	90.34	True
F_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	3154	3318	136	89.08	True
E_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	3319	3485	144	91.86	True
D_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	3486	3655	154	94.25	True
C_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	3656	3821	144	91.38	True
B_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	3822	4008	165	93.65	True
A_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	4009	4180	159	95.95	True
L_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	4181	4342	140	90.70	True
K_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	4343	4509	136	88.20	True
J_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	4510	4686	153	93.22	True
I_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	4687	4852	138	90.12	True
H_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	4853	5020	161	97.08	True
G_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	5021	5190	126	85.39	True
F_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	5191	5356	152	94.19	True
E_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	5357	5523	141	90.75	True
D_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	5524	5687	138	90.12	True
C_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	5688	5854	161	97.08	True
B_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	5855	6042	152	89.18	True
A_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	6043	6217	137	88.27	True
L_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	6218	6390	149	92.09	True
K_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	6391	6558	124	84.44	True
J_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	6559	6725	154	95.29	True
I_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	6726	6904	154	92.78	True
H_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	6905	7075	122	83.52	True
G_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	7076	7246	142	90.80	True
F_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	7247	7412	142	90.80	True
E_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	7413	7580	130	86.93	True
D_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	7581	7737	128	87.21	True
C_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	7738	7910	132	87.08	True
B_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	7911	8098	157	90.26	True
A_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	8099	8273	149	91.62	True
L_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	8274	8446	147	91.53	True
K_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	8447	8616	145	91.91	True
J_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	8617	8783	152	94.71	True
I_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	8784	8947	147	92.49	True
H_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	8948	9126	139	87.98	True
G_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	9127	9289	137	89.60	True
F_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	9290	9457	148	92.53	True
E_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	9458	9624	152	94.71	True
D_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	9625	9799	126	84.24	True
C_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	9800	9973	132	86.26	True
B_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	9974	10156	151	89.53	True
A_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	10157	10328	162	96.55	True
L_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	10329	10496	156	95.35	True
K_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	10497	10668	152	93.18	True
J_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	10669	10828	113	83.24	True
I_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	10829	11001	153	93.22	True
H_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	11002	11168	131	86.19	True
G_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	11169	11334	137	89.14	True
F_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	11335	11502	143	91.33	True
E_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	11503	11674	141	90.29	True
D_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	11675	11842	164	98.24	True
C_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	11843	12002	135	89.02	True
B_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	12003	12186	174	96.28	True
A_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	12187	12354	121	83.80	True
L_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	12355	12518	128	87.21	True
K_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	12519	12692	163	96.57	True
J_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	12693	12857	149	94.08	True
I_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	12858	13032	154	93.26	True
H_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	13033	13202	157	95.38	True
G_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	13203	13367	144	91.38	True
F_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	13368	13536	131	87.01	True
E_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	13537	13690	120	84.88	True
D_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	13691	13860	128	86.36	True
C_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	13861	14029	155	94.80	True
B_rc	chrX-v0_2139185_aligned_348_R_145_45977_8	14030	14216	162	92.63	True
